leg	metric	value
uniques	S_inputs	91515
uniques	nV	2387787
uniques	nL_sem	1992487
uniques	nL_norm	1992487
uniques	nRaw	1992487
uniques	delta	395300
uniques	a	395300
uniques	b_counted	0
uniques	b_spin_split	0
uniques	b_opaque	0
uniques	b_collapsed	0
uniques	c1	0
uniques	c2v	0
uniques	c2l	0
uniques	dV	0
uniques	dL	0
uniques	dV_om	0
uniques	exact_S	1
uniques	exact_N	1
uniques	exact_R	1
trans	nCV	2035731
trans	nCL	1992487
trans	deltaC	43244
trans	a_t	43770
trans	b_t	526
trans	c1_t	0
trans	dVt	0
trans	dLt	0
trans	exact_T	1
volume	ood_inputs	0
volume	ood_nV	0
volume	missing_legacy	0
volume	overflow_inputs	0
volume	divergent_inputs	0
volume	distinct_inputs	91515
